Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acq_data_fifo_m_axis_tvalid,i_system_wrapper/system_i/acq_l1_data_slice_Dout[15:0],i_system_wrapper/system_i/acq_l5_data_slice_Dout[15:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tdata[31:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
907,907,0,0,ff0b,ff00,fffd0318,0
908,908,0,0,ff0b,ff00,ffff0114,1
909,909,0,0,ff0b,ff00,ffff0114,0
910,910,0,0,ff0b,ff00,ffff0114,0
911,911,0,0,ff0b,ff00,ffff0114,0
912,912,0,0,ff0b,ff00,ffff0114,0
913,913,0,0,ff0b,ff00,feff001a,1
914,914,0,0,ff0b,ff00,feff001a,0
915,915,0,0,ff0b,ff00,feff001a,0
916,916,0,0,ff0b,ff00,feff001a,0
917,917,0,0,ff0b,ff00,feff001a,0
918,918,0,0,ff0b,ff00,ff020116,1
919,919,0,0,ff0b,ff00,ff020116,0
920,920,0,0,ff0b,ff00,ff020116,0
921,921,0,0,ff0b,ff00,ff020116,0
922,922,0,0,ff0b,ff00,0102fe16,1
923,923,0,0,ff0b,ff00,0102fe16,0
924,924,0,0,ff0b,ff00,0102fe16,0
925,925,0,0,ff0b,ff00,0102fe16,0
926,926,0,0,ff0b,ff00,0102fe16,0
927,927,0,0,ff0b,ff00,fffe0119,1
928,928,0,0,ff0b,ff00,fffe0119,0
929,929,0,0,ff0b,ff00,fffe0119,0
930,930,0,0,ff0b,ff00,fffe0119,0
931,931,0,0,ff0b,ff00,0001ff1a,1
932,932,0,0,ff0b,ff00,0001ff1a,0
933,933,0,0,ff0b,ff00,0001ff1a,0
934,934,0,0,ff0b,ff00,0001ff1a,0
935,935,0,0,ff0b,ff00,0001ff1a,0
936,936,0,1,fe0b,ffff,fbfdfe17,1
937,937,0,0,fe0b,ffff,fbfdfe17,0
938,938,0,0,fe0b,ffff,fbfdfe17,0
939,939,0,0,fe0b,ffff,fbfdfe17,0
940,940,0,0,fe0b,ffff,fbfdfe17,0
941,941,0,0,fe0b,ffff,00000117,1
942,942,0,0,fe0b,ffff,00000117,0
943,943,0,0,fe0b,ffff,00000117,0
944,944,0,0,fe0b,ffff,00000117,0
945,945,0,0,fe0b,ffff,03fffd16,1
946,946,0,0,fe0b,ffff,03fffd16,0
947,947,0,0,fe0b,ffff,03fffd16,0
948,948,0,0,fe0b,ffff,03fffd16,0
949,949,0,0,fe0b,ffff,03fffd16,0
950,950,0,0,fe0b,ffff,ff00fd16,1
951,951,0,0,fe0b,ffff,ff00fd16,0
952,952,0,0,fe0b,ffff,ff00fd16,0
953,953,0,0,fe0b,ffff,ff00fd16,0
954,954,0,0,fe0b,ffff,0000fc19,1
955,955,0,0,fe0b,ffff,0000fc19,0
956,956,0,0,fe0b,ffff,0000fc19,0
957,957,0,0,fe0b,ffff,0000fc19,0
958,958,0,0,fe0b,ffff,0000fc19,0
959,959,0,0,fe0b,ffff,fe020017,1
960,960,0,0,fe0b,ffff,fe020017,0
961,961,0,0,fe0b,ffff,fe020017,0
962,962,0,0,fe0b,ffff,fe020017,0
963,963,0,0,fe0b,ffff,0000ff15,1
964,964,0,0,fe0b,ffff,0000ff15,0
965,965,0,0,fe0b,ffff,0000ff15,0
966,966,0,0,fe0b,ffff,0000ff15,0
967,967,0,0,fe0b,ffff,0000ff15,0
968,968,0,0,fe0b,ffff,00feff18,1
969,969,0,0,fe0b,ffff,00feff18,0
970,970,0,0,fe0b,ffff,00feff18,0
971,971,0,0,fe0b,ffff,00feff18,0
972,972,0,0,fe0b,ffff,00feff18,0
973,973,0,0,fe0b,ffff,fbfe0016,1
974,974,0,0,fe0b,ffff,fbfe0016,0
975,975,0,0,fe0b,ffff,fbfe0016,0
976,976,0,0,fe0b,ffff,fbfe0016,0
977,977,0,0,fe0b,ffff,fffffe19,1
978,978,0,0,fe0b,ffff,fffffe19,0
979,979,0,0,fe0b,ffff,fffffe19,0
980,980,0,0,fe0b,ffff,fffffe19,0
981,981,0,0,fe0b,ffff,fffffe19,0
982,982,0,0,fe0b,ffff,fd000216,1
983,983,0,0,fe0b,ffff,fd000216,0
984,984,0,0,fe0b,ffff,fd000216,0
985,985,0,0,fe0b,ffff,fd000216,0
986,986,0,0,fe0b,ffff,01ff0214,1
987,987,0,0,fe0b,ffff,01ff0214,0
988,988,0,0,fe0b,ffff,01ff0214,0
989,989,0,0,fe0b,ffff,01ff0214,0
990,990,0,0,fe0b,ffff,01ff0214,0
991,991,0,0,fe0b,ffff,00fdfd19,1
992,992,0,0,fe0b,ffff,00fdfd19,0
993,993,0,0,fe0b,ffff,00fdfd19,0
994,994,0,0,fe0b,ffff,00fdfd19,0
995,995,0,0,fe0b,ffff,fd04fafc,1
996,996,0,0,fe0b,ffff,fd04fafc,0
997,997,0,0,fe0b,ffff,fd04fafc,0
998,998,0,0,fe0b,ffff,fd04fafc,0
999,999,0,0,fe0b,ffff,fd04fafc,0
1000,1000,0,0,fe0b,ffff,0100fbe4,1
1001,1001,0,0,fe0b,ffff,0100fbe4,0
1002,1002,0,0,fe0b,ffff,0100fbe4,0
1003,1003,0,0,fe0b,ffff,0100fbe4,0
1004,1004,0,0,fe0b,ffff,0100fbe4,0
1005,1005,0,0,fe0b,ffff,00fd01ea,1
1006,1006,0,0,fe0b,ffff,00fd01ea,0
1007,1007,0,0,fe0b,ffff,00fd01ea,0
